"election_date","office_name","district_name","candidate_name","candidate_party_name","county_name","votes","is_winner","pct"
"2000","President of the United States","New Mexico","Al Gore","Democratic","Bernalillo",99461,TRUE,48.7
"2000","President of the United States","New Mexico","George W. Bush","Republican","Bernalillo",95249,FALSE,46.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Bernalillo",8274,FALSE,4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Bernalillo",713,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Bernalillo",397,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Bernalillo",119,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Bernalillo",106,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Catron",1273,TRUE,74.4
"2000","President of the United States","New Mexico","Al Gore","Democratic","Catron",353,FALSE,20.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Catron",57,FALSE,3.3
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Catron",14,FALSE,0.8
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Catron",11,FALSE,0.6
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Catron",3,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Catron",0,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Chaves",11378,TRUE,62.7
"2000","President of the United States","New Mexico","Al Gore","Democratic","Chaves",6340,FALSE,34.9
"2000","President of the United States","New Mexico","Ralph Nader","Green","Chaves",307,FALSE,1.7
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Chaves",56,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Chaves",51,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Chaves",9,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Chaves",8,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Cibola",4127,TRUE,58.2
"2000","President of the United States","New Mexico","George W. Bush","Republican","Cibola",2752,FALSE,38.8
"2000","President of the United States","New Mexico","Ralph Nader","Green","Cibola",164,FALSE,2.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Cibola",29,FALSE,0.4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Cibola",8,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Cibola",5,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Cibola",3,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Colfax",2653,TRUE,48.6
"2000","President of the United States","New Mexico","George W. Bush","Republican","Colfax",2600,FALSE,47.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Colfax",163,FALSE,3
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Colfax",20,FALSE,0.4
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Colfax",20,FALSE,0.4
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Colfax",3,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Colfax",2,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Curry",8301,TRUE,69.4
"2000","President of the United States","New Mexico","Al Gore","Democratic","Curry",3471,FALSE,29
"2000","President of the United States","New Mexico","Ralph Nader","Green","Curry",147,FALSE,1.2
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Curry",23,FALSE,0.2
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Curry",19,FALSE,0.2
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Curry",4,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Curry",4,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","De Baca",612,TRUE,62.3
"2000","President of the United States","New Mexico","Al Gore","Democratic","De Baca",349,FALSE,35.5
"2000","President of the United States","New Mexico","Ralph Nader","Green","De Baca",12,FALSE,1.2
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","De Baca",7,FALSE,0.7
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","De Baca",2,FALSE,0.2
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","De Baca",0,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","De Baca",0,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Dona Ana",23912,TRUE,51.3
"2000","President of the United States","New Mexico","George W. Bush","Republican","Dona Ana",21263,FALSE,45.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Dona Ana",1158,FALSE,2.5
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Dona Ana",155,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Dona Ana",117,FALSE,0.3
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Dona Ana",27,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Dona Ana",21,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Eddy",10335,TRUE,58.1
"2000","President of the United States","New Mexico","Al Gore","Democratic","Eddy",7108,FALSE,40
"2000","President of the United States","New Mexico","Ralph Nader","Green","Eddy",256,FALSE,1.4
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Eddy",37,FALSE,0.2
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Eddy",36,FALSE,0.2
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Eddy",8,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Eddy",7,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Grant",5673,TRUE,50.5
"2000","President of the United States","New Mexico","George W. Bush","Republican","Grant",4961,FALSE,44.1
"2000","President of the United States","New Mexico","Ralph Nader","Green","Grant",530,FALSE,4.7
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Grant",32,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Grant",32,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Grant",7,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Grant",6,FALSE,0.1
"2000","President of the United States","New Mexico","Al Gore","Democratic","Guadalupe",1076,TRUE,65.2
"2000","President of the United States","New Mexico","George W. Bush","Republican","Guadalupe",548,FALSE,33.2
"2000","President of the United States","New Mexico","Ralph Nader","Green","Guadalupe",24,FALSE,1.5
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Guadalupe",2,FALSE,0.1
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Guadalupe",1,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Guadalupe",0,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Guadalupe",0,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Harding",366,TRUE,61.7
"2000","President of the United States","New Mexico","Al Gore","Democratic","Harding",214,FALSE,36.1
"2000","President of the United States","New Mexico","Ralph Nader","Green","Harding",9,FALSE,1.5
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Harding",3,FALSE,0.5
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Harding",1,FALSE,0.2
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Harding",0,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Harding",0,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Hidalgo",954,TRUE,52
"2000","President of the United States","New Mexico","Al Gore","Democratic","Hidalgo",839,FALSE,45.7
"2000","President of the United States","New Mexico","Ralph Nader","Green","Hidalgo",28,FALSE,1.5
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Hidalgo",6,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Hidalgo",5,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Hidalgo",1,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Hidalgo",1,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Lea",10157,TRUE,71.2
"2000","President of the United States","New Mexico","Al Gore","Democratic","Lea",3855,FALSE,27
"2000","President of the United States","New Mexico","Ralph Nader","Green","Lea",169,FALSE,1.2
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Lea",37,FALSE,0.3
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Lea",22,FALSE,0.2
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Lea",10,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Lea",6,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Lincoln",4458,TRUE,65.8
"2000","President of the United States","New Mexico","Al Gore","Democratic","Lincoln",2027,FALSE,29.9
"2000","President of the United States","New Mexico","Ralph Nader","Green","Lincoln",168,FALSE,2.5
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Lincoln",82,FALSE,1.2
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Lincoln",22,FALSE,0.3
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Lincoln",8,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Lincoln",7,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Los Alamos",5623,TRUE,55
"2000","President of the United States","New Mexico","Al Gore","Democratic","Los Alamos",4149,FALSE,40.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","Los Alamos",329,FALSE,3.2
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Los Alamos",88,FALSE,0.9
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Los Alamos",12,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Los Alamos",9,FALSE,0.1
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Los Alamos",8,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Luna",3395,TRUE,51.3
"2000","President of the United States","New Mexico","Al Gore","Democratic","Luna",2975,FALSE,45
"2000","President of the United States","New Mexico","Ralph Nader","Green","Luna",186,FALSE,2.8
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Luna",29,FALSE,0.4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Luna",20,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Luna",6,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Luna",1,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","McKinley",10281,TRUE,64.7
"2000","President of the United States","New Mexico","George W. Bush","Republican","McKinley",5070,FALSE,31.9
"2000","President of the United States","New Mexico","Ralph Nader","Green","McKinley",392,FALSE,2.5
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","McKinley",55,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","McKinley",46,FALSE,0.3
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","McKinley",20,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","McKinley",15,FALSE,0.1
"2000","President of the United States","New Mexico","Al Gore","Democratic","Mora",1456,TRUE,66.5
"2000","President of the United States","New Mexico","George W. Bush","Republican","Mora",668,FALSE,30.5
"2000","President of the United States","New Mexico","Ralph Nader","Green","Mora",49,FALSE,2.2
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Mora",8,FALSE,0.4
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Mora",6,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Mora",2,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Mora",2,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Otero",10258,TRUE,63.3
"2000","President of the United States","New Mexico","Al Gore","Democratic","Otero",5465,FALSE,33.7
"2000","President of the United States","New Mexico","Ralph Nader","Green","Otero",338,FALSE,2.1
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Otero",64,FALSE,0.4
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Otero",53,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Otero",16,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Otero",10,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Quay",2292,TRUE,59.6
"2000","President of the United States","New Mexico","Al Gore","Democratic","Quay",1471,FALSE,38.3
"2000","President of the United States","New Mexico","Ralph Nader","Green","Quay",51,FALSE,1.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Quay",17,FALSE,0.4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Quay",8,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Quay",4,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Quay",1,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Rio Arriba",8169,TRUE,67.5
"2000","President of the United States","New Mexico","George W. Bush","Republican","Rio Arriba",3495,FALSE,28.9
"2000","President of the United States","New Mexico","Ralph Nader","Green","Rio Arriba",377,FALSE,3.1
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Rio Arriba",23,FALSE,0.2
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Rio Arriba",20,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Rio Arriba",7,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Rio Arriba",6,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Roosevelt",3762,TRUE,66.6
"2000","President of the United States","New Mexico","Al Gore","Democratic","Roosevelt",1762,FALSE,31.2
"2000","President of the United States","New Mexico","Ralph Nader","Green","Roosevelt",98,FALSE,1.7
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Roosevelt",15,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Roosevelt",10,FALSE,0.2
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Roosevelt",2,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Roosevelt",2,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","San Juan",21434,TRUE,61.8
"2000","President of the United States","New Mexico","Al Gore","Democratic","San Juan",11980,FALSE,34.6
"2000","President of the United States","New Mexico","Ralph Nader","Green","San Juan",923,FALSE,2.7
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","San Juan",154,FALSE,0.4
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","San Juan",117,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","San Juan",27,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","San Juan",22,FALSE,0.1
"2000","President of the United States","New Mexico","Al Gore","Democratic","San Miguel",6540,TRUE,71.4
"2000","President of the United States","New Mexico","George W. Bush","Republican","San Miguel",2215,FALSE,24.2
"2000","President of the United States","New Mexico","Ralph Nader","Green","San Miguel",344,FALSE,3.8
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","San Miguel",27,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","San Miguel",16,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","San Miguel",11,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","San Miguel",8,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Sandoval",15423,TRUE,48.6
"2000","President of the United States","New Mexico","Al Gore","Democratic","Sandoval",14899,FALSE,46.9
"2000","President of the United States","New Mexico","Ralph Nader","Green","Sandoval",1211,FALSE,3.8
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Sandoval",115,FALSE,0.4
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Sandoval",76,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Sandoval",20,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Sandoval",11,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Santa Fe",32017,TRUE,64.7
"2000","President of the United States","New Mexico","George W. Bush","Republican","Santa Fe",13974,FALSE,28.2
"2000","President of the United States","New Mexico","Ralph Nader","Green","Santa Fe",3215,FALSE,6.5
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Santa Fe",147,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Santa Fe",65,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Santa Fe",37,FALSE,0.1
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Santa Fe",16,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Sierra",2721,TRUE,59.3
"2000","President of the United States","New Mexico","Al Gore","Democratic","Sierra",1689,FALSE,36.8
"2000","President of the United States","New Mexico","Ralph Nader","Green","Sierra",132,FALSE,2.9
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Sierra",19,FALSE,0.4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Sierra",18,FALSE,0.4
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Sierra",4,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Sierra",3,FALSE,0.1
"2000","President of the United States","New Mexico","Al Gore","Democratic","Socorro",3294,TRUE,48.3
"2000","President of the United States","New Mexico","George W. Bush","Republican","Socorro",3173,FALSE,46.5
"2000","President of the United States","New Mexico","Ralph Nader","Green","Socorro",279,FALSE,4.1
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Socorro",53,FALSE,0.8
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Socorro",23,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Socorro",2,FALSE,0
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Socorro",2,FALSE,0
"2000","President of the United States","New Mexico","Al Gore","Democratic","Taos",7039,TRUE,64.6
"2000","President of the United States","New Mexico","George W. Bush","Republican","Taos",2744,FALSE,25.2
"2000","President of the United States","New Mexico","Ralph Nader","Green","Taos",1064,FALSE,9.8
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Taos",29,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Taos",12,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Taos",4,FALSE,0
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Taos",3,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Torrance",2891,TRUE,58.3
"2000","President of the United States","New Mexico","Al Gore","Democratic","Torrance",1868,FALSE,37.7
"2000","President of the United States","New Mexico","Ralph Nader","Green","Torrance",163,FALSE,3.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Torrance",20,FALSE,0.4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Torrance",8,FALSE,0.2
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Torrance",8,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Torrance",2,FALSE,0
"2000","President of the United States","New Mexico","George W. Bush","Republican","Union",1269,TRUE,72.3
"2000","President of the United States","New Mexico","Al Gore","Democratic","Union",452,FALSE,25.8
"2000","President of the United States","New Mexico","Ralph Nader","Green","Union",19,FALSE,1.1
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Union",7,FALSE,0.4
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Union",4,FALSE,0.2
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Union",3,FALSE,0.2
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Union",1,FALSE,0.1
"2000","President of the United States","New Mexico","George W. Bush","Republican","Valencia",10803,TRUE,50.5
"2000","President of the United States","New Mexico","Al Gore","Democratic","Valencia",9819,FALSE,45.9
"2000","President of the United States","New Mexico","Ralph Nader","Green","Valencia",615,FALSE,2.9
"2000","President of the United States","New Mexico","Harry Browne","Libertarian","Valencia",58,FALSE,0.3
"2000","President of the United States","New Mexico","Pat Buchanan","Reform","Valencia",55,FALSE,0.3
"2000","President of the United States","New Mexico","Howard Phillips","Constitution","Valencia",15,FALSE,0.1
"2000","President of the United States","New Mexico","John Hagelin","Natural Law","Valencia",12,FALSE,0.1
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Bernalillo",123994,TRUE,61.6
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Bernalillo",77425,FALSE,38.4
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Catron",993,TRUE,59.4
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Catron",678,FALSE,40.6
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Chaves",9239,TRUE,51.6
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Chaves",8650,FALSE,48.4
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Cibola",5031,TRUE,72
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Cibola",1952,FALSE,28
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Colfax",3322,TRUE,61.9
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Colfax",2041,FALSE,38.1
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Curry",6482,TRUE,54.8
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Curry",5336,FALSE,45.2
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","De Baca",610,TRUE,63.3
"2000","United States Senator","New Mexico","Bill Redmond","Republican","De Baca",353,FALSE,36.7
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Dona Ana",29111,TRUE,63.5
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Dona Ana",16745,FALSE,36.5
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Eddy",10219,TRUE,58.3
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Eddy",7320,FALSE,41.7
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Grant",7521,TRUE,68.1
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Grant",3525,FALSE,31.9
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Guadalupe",1259,TRUE,77.1
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Guadalupe",375,FALSE,22.9
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Harding",308,TRUE,52.5
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Harding",279,FALSE,47.5
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Hidalgo",1250,TRUE,68.7
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Hidalgo",569,FALSE,31.3
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Lea",7014,TRUE,50.1
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Lea",6989,FALSE,49.9
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Lincoln",3338,TRUE,50.3
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Lincoln",3299,FALSE,49.7
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Los Alamos",5858,TRUE,58.1
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Los Alamos",4233,FALSE,41.9
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Luna",3984,TRUE,61.2
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Luna",2525,FALSE,38.8
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","McKinley",11578,TRUE,74.3
"2000","United States Senator","New Mexico","Bill Redmond","Republican","McKinley",4005,FALSE,25.7
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Mora",1592,TRUE,74.8
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Mora",535,FALSE,25.2
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Otero",8597,TRUE,53.9
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Otero",7353,FALSE,46.1
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Quay",2167,TRUE,56.9
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Quay",1640,FALSE,43.1
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Rio Arriba",9191,TRUE,77.1
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Rio Arriba",2733,FALSE,22.9
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Roosevelt",2924,TRUE,52.5
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Roosevelt",2649,FALSE,47.5
"2000","United States Senator","New Mexico","Bill Redmond","Republican","San Juan",17995,TRUE,52.7
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","San Juan",16119,FALSE,47.3
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","San Miguel",7180,TRUE,79.8
"2000","United States Senator","New Mexico","Bill Redmond","Republican","San Miguel",1821,FALSE,20.2
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Sandoval",17940,TRUE,57.3
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Sandoval",13349,FALSE,42.7
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Santa Fe",37045,TRUE,76.3
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Santa Fe",11507,FALSE,23.7
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Sierra",2432,TRUE,53.9
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Sierra",2078,FALSE,46.1
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Socorro",4483,TRUE,66.8
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Socorro",2231,FALSE,33.2
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Taos",8473,TRUE,80.1
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Taos",2109,FALSE,19.9
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Torrance",2620,TRUE,53.9
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Torrance",2245,FALSE,46.1
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Union",957,TRUE,55.7
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Union",761,FALSE,44.3
"2000","United States Senator","New Mexico","Jeff Bingaman","Democratic","Valencia",12884,TRUE,61
"2000","United States Senator","New Mexico","Bill Redmond","Republican","Valencia",8241,FALSE,39
"2002","Attorney General","New Mexico","Patricia A. Madrid","Democratic","Bernalillo",88420,TRUE,55.2
"2002","Attorney General","New Mexico","Rob Perry","Republican","Bernalillo",62450,FALSE,39
"2002","Attorney General","New Mexico","Ann Tyner Gleason","Green","Bernalillo",9169,FALSE,5.7
"2002","Attorney General","New Mexico","Rob Perry","Republican","Catron",806,TRUE,50.2
"2002","Attorney General","New Mexico","Patricia A. Madrid","Democratic","Catron",714,FALSE,44.5
"2002","Attorney General","New Mexico","Ann Tyner Gleason","Green","Catron",84,FALSE,5.2
"2002","Attorney General","New Mexico","Rob Perry","Republican","Chaves",7536,TRUE,51.6
"2002","Attorney General","New Mexico","Patricia A. Madrid","Democratic","Chaves",6693,FALSE,45.8
"2002","Attorney General","New Mexico","Ann Tyner Gleason","Green","Chaves",386,FALSE,2.6
"2002","Attorney General","New Mexico","Patricia A. Madrid","Democratic","Cibola",3709,TRUE,68
"2002","Attorney General","New Mexico","Rob Perry","Republican","Cibola",1573,FALSE,28.8
"2002","Attorney General","New Mexico","Ann Tyner Gleason","Green","Cibola",171,FALSE,3.1
"2002","Attorney General","New Mexico","Patricia A. Madrid","Democratic","Colfax",2945,TRUE,65
"2002","Attorney General","New Mexico","Rob Perry","Republican","Colfax",1447,FALSE,31.9
