"election_date","office_name","district_name","candidate_name","candidate_party_name","votes","is_winner","pct"
"2012","State Senate","17","Shannon Robinson","Republican",4057,FALSE,35.2
"2012","State Senate","18","Lisa Torraco","Republican",12092,TRUE,51.8
"2012","State Senate","18","Bill G. Tallman","Democratic",11248,FALSE,48.2
"2012","State Senate","19","Sue Wilson Beffort","Republican",17546,TRUE,100
"2012","State Senate","2","Steven P. Neville","Republican",14168,TRUE,100
"2012","State Senate","20","William H. Payne","Republican",13626,TRUE,56.1
"2012","State Senate","20","Cornelia W. Lange","Democratic",10651,FALSE,43.9
"2012","State Senate","21","Mark Moores","Republican",14067,TRUE,56.6
"2012","State Senate","21","Lisa K. Curtis","Democratic",10768,FALSE,43.4
"2012","State Senate","22","Benny Shendo, Jr.","Democratic",7831,TRUE,100
"2012","State Senate","23","Sander Rue","Republican",14327,TRUE,100
"2012","State Senate","24","Nancy Rodriguez","Democratic",15568,TRUE,100
"2012","State Senate","25","Peter Wirth","Democratic",26000,TRUE,100
"2012","State Senate","26","Jacob Candelaria","Democratic",11463,TRUE,100
"2012","State Senate","27","Stuart Ingle","Republican",12022,TRUE,100
"2012","State Senate","28","Howie C. Morales","Democratic",11216,TRUE,100
"2012","State Senate","29","Michael S. Sanchez","Democratic",9001,TRUE,55.4
"2012","State Senate","29","David C. Chavez","Republican",7237,FALSE,44.6
"2012","State Senate","3","John Pinto","Democratic",11025,TRUE,100
"2012","State Senate","30","Clemente Sanchez","Democratic",7654,TRUE,50.9
"2012","State Senate","30","Vickie S. Perea","Republican",7369,FALSE,49.1
"2012","State Senate","31","Joseph Cervantes","Democratic",6755,TRUE,67.3
"2012","State Senate","31","Brett C. Preston","Republican",3280,FALSE,32.7
"2012","State Senate","32","Cliff R. Pirtle","Republican",5135,TRUE,53.3
"2012","State Senate","32","Timothy Z. Jennings","Democratic",4491,FALSE,46.7
"2012","State Senate","33","William F. Burt","Republican",12292,TRUE,65.3
"2012","State Senate","33","Stephanie L. Dubois","Democratic",6530,FALSE,34.7
"2012","State Senate","34","Ron Griggs","Republican",6331,TRUE,66.8
"2012","State Senate","34","Ellen E. Wedum","Democratic",3151,FALSE,33.2
"2012","State Senate","35","John Arthur Smith","Democratic",10446,TRUE,61
"2012","State Senate","35","Russell G. Allen","Republican",6688,FALSE,39
"2012","State Senate","36","Lee S. Cotter","Republican",9000,TRUE,54
"2012","State Senate","36","Mary Jane Garcia","Democratic",7667,FALSE,46
"2012","State Senate","37","William P. Soules","Democratic",9112,TRUE,51.9
"2012","State Senate","37","Cathey Jo Alberson","Republican",8454,FALSE,48.1
"2012","State Senate","38","Mary Kay Papen","Democratic",9464,TRUE,66.4
"2012","State Senate","38","Neal L. Hooks","Republican",4783,FALSE,33.6
"2012","State Senate","39","Phil A. Griego","Democratic",9977,TRUE,55
"2012","State Senate","39","Aubrey Dunn","Republican",8162,FALSE,45
"2012","State Senate","4","George K. Munoz","Democratic",8189,TRUE,100
"2012","State Senate","40","Craig W. Brandt","Republican",9982,TRUE,55.3
"2012","State Senate","40","Linda M. Allison","Democratic",8069,FALSE,44.7
"2012","State Senate","41","Carroll H. Leavell","Republican",5318,TRUE,100
"2012","State Senate","42","Gay G. Kernan","Republican",8333,TRUE,100
"2012","State Senate","5","Richard C. Martinez","Democratic",14998,TRUE,100
"2012","State Senate","6","Carlos R. Cisneros","Democratic",16956,TRUE,100
"2012","State Senate","7","John Patrick Woods","Republican",12562,TRUE,100
"2012","State Senate","8","Pete Campos","Democratic",15653,TRUE,100
"2012","State Senate","9","John M. Sapien","Democratic",11479,TRUE,50
"2012","State Senate","9","David L. Doyle","Republican",11462,FALSE,50
"2012","United States Representative","1","Michelle Lujan Grisham","Democratic",162340,TRUE,59
"2012","United States Representative","1","Janice E. Arnold-Jones","Republican",112367,FALSE,40.8
"2012","United States Representative","1","Jeanne Pahls","Green",459,FALSE,0.2
"2012","United States Representative","2","Steve Pearce","Republican",114572,TRUE,58.4
"2012","United States Representative","2","Evelyn Madrid Erhard","Democratic",81512,FALSE,41.5
"2012","United States Representative","2","Jack A. McGrann","Independent",167,FALSE,0.1
"2012","United States Representative","3","Ben R. Lujan","Democratic",156702,TRUE,62.1
"2012","United States Representative","3","Jefferson L. Byrd","Republican",95578,FALSE,37.9
"2012","United States Senator","New Mexico","Martin T. Heinrich","Democratic",375114,TRUE,51.2
"2012","United States Senator","New Mexico","Heather A. Wilson","Republican",330596,FALSE,45.1
"2012","United States Senator","New Mexico","Jon Ross Barrie","Independent American",26529,FALSE,3.6
"2012","United States Senator","New Mexico","Robert L. Anderson","Independent",607,FALSE,0.1
"2014","Attorney General","New Mexico","Hector Balderas","Democratic",294255,TRUE,58.3
"2014","Attorney General","New Mexico","Susan M. Riedel","Republican",210259,FALSE,41.7
"2014","Commissioner of Public Lands","New Mexico","Aubrey Dunn","Republican",249152,TRUE,50.1
"2014","Commissioner of Public Lands","New Mexico","Ray Bennett Powell","Democratic",248378,FALSE,49.9
"2014","Governor","New Mexico","Susana Martinez and John A. Sanchez","Republican",292764,TRUE,57.3
"2014","Governor","New Mexico","Gary K. King and Debra A. Haaland","Democratic",218245,FALSE,42.7
"2014","Secretary of State","New Mexico","Dianna J. Duran","Republican",261342,TRUE,51.7
"2014","Secretary of State","New Mexico","Maggie Toulouse Oliver","Democratic",244557,FALSE,48.3
"2014","State Auditor","New Mexico","Timothy M. Keller","Democratic",269587,TRUE,54.3
"2014","State Auditor","New Mexico","Robert J. Aragon","Republican",227145,FALSE,45.7
"2014","State Representative","1","Rodney D. Montoya","Republican",5971,TRUE,73
"2014","State Representative","1","Alfred Gordon Glass, Jr.","Democratic",2214,FALSE,27
"2014","State Representative","10","G Andres Romero","Democratic",2459,TRUE,58.2
"2014","State Representative","10","Robert A. Schiller","Independent",1766,FALSE,41.8
"2014","State Representative","11","Javier I. Martinez","Democratic",6413,TRUE,100
"2014","State Representative","12","Patricio R. Ruiloba","Democratic",2779,TRUE,100
"2014","State Representative","13","Patricia A. Roybal Caballero","Democratic",2520,TRUE,100
"2014","State Representative","14","Miguel P. Garcia","Democratic",3150,TRUE,69.6
"2014","State Representative","14","Robert W. Chavez","Republican",1376,FALSE,30.4
"2014","State Representative","15","Sarah Maestas Barnes","Republican",4816,TRUE,51.9
"2014","State Representative","15","Emily A. Kane","Democratic",4460,FALSE,48.1
"2014","State Representative","16","Antonio ""Moe"" Maestas","Democratic",4112,TRUE,56.7
"2014","State Representative","16","Johnny F. Luevano Jr.","Republican",3144,FALSE,43.3
"2014","State Representative","17","Deborah A. Armstrong","Democratic",5433,TRUE,100
"2014","State Representative","18","Gail Chasey","Democratic",6419,TRUE,100
"2014","State Representative","19","Sheryl Williams M. Stapleton","Democratic",5496,TRUE,100
"2014","State Representative","2","James R. J. Strickler","Republican",3867,TRUE,76.9
"2014","State Representative","2","Nathan E. Thompson","Democratic",1161,FALSE,23.1
"2014","State Representative","20","James Mitchell Dines","Republican",4688,TRUE,54.8
"2014","State Representative","20","Josh R. Anderson","Democratic",3868,FALSE,45.2
"2014","State Representative","21","Mimi Stewart","Democratic",2565,TRUE,100
"2014","State Representative","22","James E. Smith","Republican",7277,TRUE,59.4
"2014","State Representative","22","John M. Wallace","Democratic",4978,FALSE,40.6
"2014","State Representative","23","Paul A. Pacheco","Republican",5139,TRUE,56.5
"2014","State Representative","23","Catherine A. Begaye","Democratic",3955,FALSE,43.5
"2014","State Representative","24","Conrad D. James","Republican",4433,TRUE,52.2
"2014","State Representative","24","Elizabeth L. Thomson","Democratic",4059,FALSE,47.8
"2014","State Representative","25","Christine Trujillo","Democratic",5140,TRUE,60.5
"2014","State Representative","25","Marianne Costello","Republican",3353,FALSE,39.5
"2014","State Representative","26","Georgene Louis","Democratic",2002,TRUE,55.6
"2014","State Representative","26","Louis Tafoya","Republican",1597,FALSE,44.4
"2014","State Representative","27","Lorenzo A. Larranaga","Republican",6275,TRUE,60.6
"2014","State Representative","27","William B. Pratt","Independent",4088,FALSE,39.4
"2014","State Representative","28","Jimmie C. Hall","Republican",7245,TRUE,100
"2014","State Representative","29","David Edward Adkins","Republican",4027,TRUE,53.7
"2014","State Representative","29","Ronnie Martinez","Democratic",3470,FALSE,46.3
"2014","State Representative","3","Paul C. Bandy","Republican",5168,TRUE,100
"2014","State Representative","30","Nate Gentry","Republican",4760,TRUE,54.3
"2014","State Representative","30","Robert M. Coffey Jr.","Democratic",3999,FALSE,45.7
"2014","State Representative","31","William R. Rehm","Republican",9043,TRUE,100
"2014","State Representative","32","Dona G. Irwin","Democratic",3237,TRUE,53
"2014","State Representative","32","Tom Bill Black","Republican",2866,FALSE,47
"2014","State Representative","33","Bill Mccamley","Democratic",3576,TRUE,57.6
"2014","State Representative","33","Neal L. Hooks","Republican",2633,FALSE,42.4
"2014","State Representative","34","Bealquin Bill Gomez","Democratic",2480,TRUE,100
"2014","State Representative","35","Jeff Steinborn","Democratic",3537,TRUE,57.2
"2014","State Representative","35","Betty J. Bishop","Republican",2642,FALSE,42.8
"2014","State Representative","36","Andrew Nunez","Republican",3096,TRUE,54
"2014","State Representative","36","Phillip M. Archuleta","Democratic",2635,FALSE,46
"2014","State Representative","37","Terry H. Mcmillan","Republican",4680,TRUE,52.2
"2014","State Representative","37","Joanne J. Ferrary","Democratic",4279,FALSE,47.8
"2014","State Representative","38","Dianne Hamilton","Republican",5574,TRUE,57.9
"2014","State Representative","38","Terry D. Fortenberry","Democratic",4061,FALSE,42.1
"2014","State Representative","39","John L. Zimmerman","Republican",3593,TRUE,52.6
"2014","State Representative","39","Rodolpho S. Martinez","Democratic",3238,FALSE,47.4
"2014","State Representative","4","Sharon Clahchischilliage","Republican",3772,TRUE,59.8
"2014","State Representative","4","Harrison Todacheene","Democratic",2534,FALSE,40.2
"2014","State Representative","40","Nick L. Salazar","Democratic",5866,TRUE,67
"2014","State Representative","40","James R. Gallegos","Republican",2890,FALSE,33
"2014","State Representative","41","Debbie A. Rodella","Democratic",4924,TRUE,100
"2014","State Representative","42","Roberto ""Bobby"" Jesse Gonzales","Democratic",7716,TRUE,100
"2014","State Representative","43","Stephanie Garcia Richard","Democratic",5937,TRUE,56.9
"2014","State Representative","43","Geoff Rodgers","Republican",4496,FALSE,43.1
"2014","State Representative","44","Jane E. Powdrell- Culbert","Republican",7594,TRUE,100
"2014","State Representative","45","Jim R. Trujillo","Democratic",6264,TRUE,100
"2014","State Representative","46","Carl P. Trujillo","Democratic",8008,TRUE,100
"2014","State Representative","47","Brian F. Egolf, Jr.","Democratic",9770,TRUE,100
"2014","State Representative","48","Luciano Varela","Democratic",7020,TRUE,100
"2014","State Representative","49","Don Tripp","Republican",6031,TRUE,71.7
"2014","State Representative","49","Erik Gale Hawkes","Democratic",2381,FALSE,28.3
"2014","State Representative","5","Doreen W. Johnson","Democratic",4778,TRUE,86.8
"2014","State Representative","5","Sandra D. Jeff","Democratic",724,FALSE,13.2
"2014","State Representative","50","Matthew Mcqueen","Democratic",5533,TRUE,53.9
"2014","State Representative","50","Vickie S. Perea","Republican",4727,FALSE,46.1
"2014","State Representative","51","Yvette Herrell","Republican",5203,TRUE,100
"2014","State Representative","52","Doreen Y. Gallegos","Democratic",3174,TRUE,100
"2014","State Representative","53","Ricky L. Little","Republican",1696,TRUE,61.9
"2014","State Representative","53","Mariaelena Johnson","Democratic",1043,FALSE,38.1
"2014","State Representative","54","James G. Townsend","Republican",5024,TRUE,100
"2014","State Representative","55","Cathrynn N. Brown","Republican",5347,TRUE,76.3
"2014","State Representative","55","Christy K. Thomas","Democratic",1657,FALSE,23.7
"2014","State Representative","56","Zach J. Cook","Republican",5191,TRUE,100
"2014","State Representative","57","Jason Carl Harper","Republican",3517,TRUE,59.5
"2014","State Representative","57","Donna I. Tillman","Democratic",2391,FALSE,40.5
"2014","State Representative","58","Candy Spence Ezzell","Republican",2965,TRUE,100
"2014","State Representative","59","Nora Espinoza","Republican",6481,TRUE,76
"2014","State Representative","59","Richard D. Mastin","Democratic",2052,FALSE,24
"2014","State Representative","6","Eliseo Lee Alcon","Democratic",4494,TRUE,98.9
"2014","State Representative","6","Shelly C. Chimoni","Democratic",51,FALSE,1.1
"2014","State Representative","60","Tim Lewis","Republican",4885,TRUE,63.4
"2014","State Representative","60","Linda Sanchez Allison","Democratic",2822,FALSE,36.6
"2014","State Representative","61","David M. Gallegos","Republican",2416,TRUE,100
"2014","State Representative","62","Larry R. Scott","Republican",4395,TRUE,100
"2014","State Representative","63","George Dodge, Jr.","Democratic",3861,TRUE,100
"2014","State Representative","64","Randal S. Crowder","Republican",4766,TRUE,100
"2014","State Representative","65","James R. Madalena","Democratic",4725,TRUE,100
"2014","State Representative","66","Bob Wooley","Republican",5476,TRUE,100
"2014","State Representative","67","Dennis J. Roch","Republican",6641,TRUE,100
"2014","State Representative","68","Monica C. Youngblood","Republican",5663,TRUE,100
"2014","State Representative","69","W. Ken Martinez","Democratic",4660,TRUE,100
"2014","State Representative","7","Kelly K. Fajardo","Republican",3512,TRUE,57.1
"2014","State Representative","7","Teresa K.e. Smith De Cherif","Democratic",2641,FALSE,42.9
"2014","State Representative","70","Tomas E. Salazar","Democratic",6260,TRUE,100
"2014","State Representative","8","Alonzo Baldonado","Republican",4770,TRUE,58.7
"2014","State Representative","8","Frank A. Otero","Democratic",3353,FALSE,41.3
"2014","State Representative","9","Patricia A. Lundstrom","Democratic",4409,TRUE,100
"2014","State Treasurer","New Mexico","Tim Eichenberg","Democratic",260344,TRUE,52.5
"2014","State Treasurer","New Mexico","Rick J. Lopez","Republican",235860,FALSE,47.5
"2014","United States Representative","1","Michelle Lujan Grisham","Democratic",105432,TRUE,58.6
"2014","United States Representative","1","Michael H. Frese","Republican",74415,FALSE,41.4
"2014","United States Representative","2","Steve Pearce","Republican",94923,TRUE,64.6
"2014","United States Representative","2","Roxanne ""Rocky"" Lara","Democratic",52007,FALSE,35.4
"2014","United States Representative","2","Jack A. McGrann","Republican",11,FALSE,0
"2014","United States Representative","3","Ben R. Lujan","Democratic",112889,TRUE,61.6
"2014","United States Representative","3","Jefferson L. Byrd","Republican",70282,FALSE,38.4
"2014","United States Representative","3","Thomas F. Hook","Republican",0,FALSE,0
"2014","United States Senator","New Mexico","Tom Udall","Democratic",285624,TRUE,55.6
"2014","United States Senator","New Mexico","Allen E. Weh","Republican",228100,FALSE,44.4
"2016","President of the United States","New Mexico","Hillary Rodham Clinton and Timothy Michael Kaine","Democratic",384693,TRUE,49
"2016","President of the United States","New Mexico","Donald J. Trump and Michael R. Pence","Republican",318972,FALSE,40.7
"2016","President of the United States","New Mexico","Gary Johnson and Bill Weld","Libertarian",72334,FALSE,9.2
"2016","President of the United States","New Mexico","Jill Stein and Ajamu Baraka","Green",5765,FALSE,0.7
"2016","President of the United States","New Mexico","Evan McMullin and Nathan Johnson","Better for America",2510,FALSE,0.3
"2016","President of the United States","New Mexico","Darrell Castle and Scott Bradley","Constitution",75,FALSE,0
"2016","President of the United States","New Mexico","Gloria La Riva and Dennis Banks","Party for Socialism and Liberation",65,FALSE,0
"2016","President of the United States","New Mexico","Roque ""Rocky"" De La Fuente and Michael Steinberg","American Delta",0,FALSE,0
"2016","Secretary of State","New Mexico","Maggie Toulouse Oliver","Democratic",432741,TRUE,56.4
"2016","Secretary of State","New Mexico","Nora Espinoza","Republican",334084,FALSE,43.6
"2016","State Representative","1","Rodney D. Montoya","Republican",10717,TRUE,100
"2016","State Representative","10","G Andres Romero","Democratic",4817,TRUE,67.4
"2016","State Representative","10","Robert A. Schiller","Independent",2329,FALSE,32.6
